d75_1,mm,ProximalOffsetBarriga_1,
d46_1,mm,ProximalLargura_1,
d47_1,deg,0.0 deg,
d48_1,mm,ProximalDiametroBuracoPolia_1,
d49_1,mm,ProximalPoliaBuracoAltura_1,
d50_1,mm,100 mm,
d51_1,mm,ProximalLargura_1 / 2,
d81_1,mm,BuracoPrenderFio_1,
d82_1,mm,ProximalDiametroPolia_1 / 2 - BuracoPrenderFio_1 / 2 - 0.5 mm,
d52_1,deg,360.0 deg,
d62_1,,1,
d63_1,mm,EixoFillet_1,
d76_1,,1,
d77_1,mm,FilletExternoPolia_1,
d78_1,,1,
d79_1,mm,FilletExternoCorpo_1,
d83_1,mm,-ProximalLargura_1,
d84_1,deg,0.0 deg,
